Ingredient,Translate,Type,Standart
Whole Grain Wheat,Цельнозерновая пшеница,Крупы,Пшеница — Мягкая Красная
Whole Grain Sorghum,Цельнозерновое сорго,Крупы,"Сорго — Обыкновенный"
Whole Grain Oats,Цельнозерновой овес,Крупы,"Овес — Обыкновенный"
Whole Grain Barley,Цельнозерновой ячмень,Крупы,"Перловка — Обыкновенный"
Barley,Ячмень,Крупы,"Перловка — Обыкновенный"
Maize,Кукуруза,Крупы,Кукуруза — Обыкновенный
Animal Fat,Животный жир,Масло и жир,Животный Жир — Говяжий
Coconut Oil,Кокосовое масло,Масло и жир,"Растительное Масло — Кокосовое"
Chicken Fat,Куриный жир,Масло и жир,"Животный Жир — Куринный"
Oils And Fats,Масла и жиры,Масло и жир,"Растительное Масло — Подсолнечное, Линолевое (Около 65%)"
Vegetable Oil,Растительное масло,Масло и жир,"Растительное Масло — Подсолнечное, Линолевое (Около 65%)"
Fish Oil,Рыбий жир,Масло и жир,Рыбий Жир — Печень Трески
Soybean Oil,Соевое масло,Масло и жир,Растительное Масло — Соевое
Lamb Meal,Блюдо из баранины,Мясо,Ягненок — Мясо
Chicken And Turkey Meal,Блюдо из курицы и индейки,Мясо,Индейка — Мясо
Chicken And Turkey Meal,Блюдо из курицы и индейки,Мясо,Курица — Мясо
Chicken Liver Flavor,Вкус куриной печени,Мясо,Курица — Печень
Pork Flavor,Вкус свинины,Мясо,Свинина — Мясо
Pork Liver Flavor,Вкус свиной печени,Мясо,Свинина — Печень
Hydrolyzed Chicken Liver,Гидролизованная куриная печень,Мясо,Курица — Печень
Hydrolyzed Chicken Flavor,Гидролизованный куриный ароматизатор,Мясо,Курица — Мясо
Beef,Говядина,Мясо,Говядина — Грудинка
Turkey,Индейка,Мясо,Индейка — Мясо
Chicken Meal,Куриное блюдо,Мясо,Курица — Мясо
Chicken Broth,Куриный бульон,Мясо,Курица — Грудка
Chicken,Курица,Мясо,Курица — Мясо
Salmon,Лосось,Мясо,Рыба — Форель
Meat And Animal Derivatives,Мясо и производные животного происхождения,Мясо,Курица — Мясо
Meat And Animal Derivatives,Мясо и производные животного происхождения,Мясо,Курица — Печень
Meat And Animal Derivatives,Мясо и производные животного происхождения,Мясо,Курица — Сердце
Pork Liver,Свиная печень,Мясо,Свинина — Печень
Broccoli,Брокколи,Овощи и фрукты,Капуста — Брокколи
Peas,Горох,Овощи и фрукты,Горох — Зелёный Горошек
Pea Fiber,Гороховая клетчатка,Овощи и фрукты,Горох — В Стручках
Pea Protein,Гороховый протеин,Овощи и фрукты,Горох — Зелёный Горошек
Yellow Peas,Желтый горох,Овощи и фрукты,Горох — Зелёный Горошек
Green Beans,Зеленая фасоль,Овощи и фрукты,"Фасоль — Зелёная Стручковая Фасоль,"
Green Peas,Зеленый горошек,Овощи и фрукты,Горох — Зелёный Горошек
Ginger,Имбирь,Овощи и фрукты,"Имбирь — Молотый"
Potatoes,Картофель,Овощи и фрукты,Картофель — Обыкновенный
Potato Protein,Картофельный белок,Овощи и фрукты,Картофель — Обыкновенный
Potato Starch,Картофельный крахмал,Овощи и фрукты,Картофель — Обыкновенный
Cranberries,Клюква,Овощи и фрукты,Ягоды — Клюквы
Ground Pecan Shell,Молотая скорлупа ореха пекан,Овощи и фрукты,"Орехи — Пекан"
Ground Pecan Shells,Молотая скорлупа орехов пекан,Овощи и фрукты,"Орехи — Пекан"
Carrots,Морковь,Овощи и фрукты,Морковь — Обыкновенный
Pea Bran Meal,Мука из гороховых отрубей,Овощи и фрукты,Горох — Зелёный Горошек
Vegetables,Овощи,Овощи и фрукты,Морковь — Обыкновенный
Pressed Cranberries,Прессованная клюква,Овощи и фрукты,Ягоды — Клюквы
Dried Carrots,Сушеная морковь,Овощи и фрукты,Морковь — Обыкновенный
Dried Citrus Pulp,Сушеная мякоть цитрусовых,Овощи и фрукты,
Dried Tomato Pomace,Сушеные томатные выжимки,Овощи и фрукты,Помидоры — Обыкновенный
Dried Beet Pulp,Сушеный свекольный жом,Овощи и фрукты,Свёкла — Обыкновенный
Pumpkin,Тыква,Овощи и фрукты,Тыква — Обыкновенный
Fruit,Фрукты,Овощи и фрукты,Фрукты — Яблоки
Apples,Яблоки,Овощи и фрукты,Фрукты — Яблоки
Lactic Acid,Молочная кислота,Яйца и Молочные продукты,
Dried Whey,Сухая сыворотка,Яйца и Молочные продукты,"Сыворотка — Кислотная, Сухая"
Dried Whole Eggs,Сушеные цельные яйца,Яйца и Молочные продукты,Яйцо — Куринное
Dried Eggs,Сушеные яйца,Яйца и Молочные продукты,Яйцо — Куринное
Egg Whites,Яичные белки,Яйца и Молочные продукты,"Яйцо — Куринное, Белок"
Egg Product,Яичный продукт,Яйца и Молочные продукты,Яйцо — Куринное
Eggs And Egg Derivatives,Яйца и яичные производные,Яйца и Молочные продукты,Яйцо — Куринное
